Team,Rating
Ohio St ,32.8
Indiana ,31.4
Notre Dame ,29.9
Oregon ,28.2
Texas Tech ,26.8
Alabama ,25.9
Utah ,24.4
Georgia ,23.7
Texas A&M ,22.9
Miami ,22.0
USC ,21.1
Oklahoma ,20.7
Mississippi ,20.3
Penn St ,19.3
Texas ,19.1
Vanderbilt ,18.8
BYU ,18.7
Michigan ,18.1
Tennessee ,18.1
Iowa ,17.9
Washington ,17.2
Missouri ,15.6
Florida St ,14.2
SMU ,14.2
LSU ,14.2
Auburn ,14.0
Illinois ,13.1
Pittsburgh ,12.9
South Carolina ,12.2
Arizona ,12.1
Clemson ,11.8
Nebraska ,11.7
S Florida ,11.3
Iowa St ,11.2
Florida ,10.7
Cincinnati ,10.1
Arizona St ,9.9
Arkansas ,9.9
Kansas St ,9.4
Louisville ,9.1
Georgia Tech ,8.9
N Texas ,8.8
TCU ,8.6
J Madison ,8.5
Virginia ,8.5
Mississippi St ,8.1
Kentucky ,8.0
Baylor ,6.5
Kansas ,6.2
Wisconsin ,5.7
Houston ,5.3
Duke ,5.3
NC State ,5.3
Boise St ,5.2
Northwestern ,5.0
Toledo ,4.8
Minnesota ,4.0
Rutgers ,3.8
Old Dominion ,3.5
Memphis ,3.2
Wake Forest ,3.0
Tulane ,2.9
Michigan St ,2.5
UCF ,2.0
E Carolina ,2.0
Navy ,0.8
UTSA ,0.6
San Diego St ,0.5
Maryland ,0.4
West Virginia ,-0.1
Washington St ,-0.4
UCLA ,-0.5
UNLV ,-0.9
Virginia Tech ,-1.3
Purdue ,-2.0
UConn ,-2.2
Colorado ,-2.3
Stanford ,-3.6
California ,-4.0
Utah St ,-4.0
Ohio ,-4.2
New Mexico ,-4.4
Boston College ,-4.5
Syracuse ,-4.5
Fresno St ,-4.5
North Carolina ,-4.7
Texas St ,-4.8
Army ,-5.5
Hawai'i ,-5.7
Miami OH ,-6.1
W Michigan ,-6.3
W Kentucky ,-6.4
Louisiana Tech ,-6.9
Marshall ,-7.8
Kennesaw St ,-8.4
Air Force ,-8.5
Temple ,-8.8
Southern Miss ,-9.0
Troy ,-9.2
Liberty ,-9.6
C Michigan ,-10.2
Louisiana ,-10.3
S Alabama ,-10.6
Wyoming ,-10.6
Jacksonville St ,-10.9
Oregon St ,-11.0
Oklahoma St ,-11.7
Florida Atlantic ,-11.7
Missouri St ,-11.9
Arkansas St ,-12.1
Florida Intl ,-12.6
Colorado St ,-12.7
Georgia So ,-13.2
Buffalo ,-13.2
San Jose St ,-13.3
App State ,-13.9
Tulsa ,-14.0
Coastal Car ,-14.2
Nevada ,-14.4
Bowling Green ,-14.9
N Illinois ,-16.1
Delaware ,-16.2
E Michigan ,-16.2
Rice ,-16.4
New Mexico St ,-16.6
UTEP ,-16.8
UAB ,-17.0
Akron ,-19.6
Middle Tenn ,-20.2
Georgia St ,-21.1
UL Monroe ,-21.5
Kent St ,-21.9
Ball St ,-21.9
Sam Houston ,-23.7
Charlotte ,-23.8
UMass ,-34.2
